N_gen,N_samplings,data_p,lambd,lambd_surr,beta_0,beta_perp,surr_score,log_loss_test,mis_error_test,log_loss_val,mis_error_val,alpha_0,alpha_s,alpha_perp,grad_norm,split_pct,acc_train,theta_surr_norm,alpha_exp,effectiveN,label_method,label_method_a,label_method_b
0,0,3000,0.001,,5.0,0.0,,0.8693956372129349,0.4637,0.8696539941927307,0.4675,0.4022432040855077,0,1.501678230198585,0.00022454676285844712,5,1.0,1.5546179923972736,-1.0,352,misspec2,0.95,0.05
0,1,3000,0.001,,5.0,0.0,,0.8571101386130062,0.46763333333333335,0.857362896215656,0.4691666666666667,0.3544411870963818,0,1.4167692291650267,5.4920448091644155e-05,5,1.0,1.4604326769211773,-1.0,315,misspec2,0.95,0.05
0,2,3000,0.001,,5.0,0.0,,0.853365233442113,0.4618,0.8596933004375618,0.4644,0.42093364162701546,0,1.4466809750566139,0.00011914805047436391,5,1.0,1.5066754707780092,-1.0,334,misspec2,0.95,0.05
0,3,3000,0.001,,5.0,0.0,,0.8881973256515324,0.4694,0.883012077130265,0.47136666666666666,0.3578549352796891,0,1.5294798689535452,1.8892607966026e-05,5,1.0,1.57078605298054,-1.0,343,misspec2,0.95,0.05
0,4,3000,0.001,,5.0,0.0,,0.8754958401984103,0.4665,0.8770481533283538,0.4666,0.38117985973116547,0,1.5099495794531494,5.5186865577747346e-05,5,1.0,1.557320075628454,-1.0,349,misspec2,0.95,0.05
0,5,3000,0.001,,5.0,0.0,,0.892198163918641,0.46613333333333334,0.8871250265451834,0.4678,0.395292701977738,0,1.5664847578910233,9.938746792219207e-05,5,1.0,1.6155899284601147,-1.0,371,misspec2,0.95,0.05
0,6,3000,0.001,,5.0,0.0,,0.8790478059305579,0.46936666666666665,0.8699672561822414,0.46426666666666666,0.4008346155424136,0,1.50745640125811,0.00019540987673954198,5,1.0,1.5598375526672916,-1.0,346,misspec2,0.95,0.05
0,7,3000,0.001,,5.0,0.0,,0.8908646997655771,0.4721666666666667,0.8938041214053145,0.4734,0.36041738543244894,0,1.5506805821888592,5.807207571739427e-05,5,1.0,1.5920147485810368,-1.0,358,misspec2,0.95,0.05
0,8,3000,0.001,,5.0,0.0,,0.8690875274556854,0.4689,0.8730714144157653,0.47073333333333334,0.3704441088044838,0,1.4908287499343365,6.692250972244212e-05,5,1.0,1.5361637931479588,-1.0,336,misspec2,0.95,0.05
0,9,3000,0.001,,5.0,0.0,,0.8598416082114032,0.45913333333333334,0.8603818955037257,0.46063333333333334,0.46343752531182947,0,1.4687487526683443,0.00013330404750784694,5,1.0,1.5401289680841568,-1.0,356,misspec2,0.95,0.05
0,0,3000,0.001,,5.0,0.0,,1.0377971513987412,0.46463333333333334,1.0400535052622737,0.4677,0.5515662842901862,0,2.142914434604324,0.00016409819808713724,10,1.0,2.212760185831544,-1.0,678,misspec2,0.95,0.05
0,1,3000,0.001,,5.0,0.0,,1.0389934160666756,0.46063333333333334,1.0472959779825508,0.4651666666666667,0.5745940638248679,0,2.1567960992274537,0.00011213405926017287,10,1.0,2.2320232417753934,-1.0,694,misspec2,0.95,0.05
