N_gen,N_samplings,data_p,lambd,lambd_surr,beta_0,beta_perp,surr_score,log_loss_test,mis_error_test,log_loss_val,mis_error_val,alpha_0,alpha_s,alpha_perp,grad_norm,split_pct,acc_train,theta_surr_norm,alpha_exp,effectiveN,label_method,label_method_a,label_method_b
0,0,3000,0.001,,5.0,0.0,,0.6319803590889436,0.33766666666666667,0.6397164212465518,0.34546666666666664,0.7530196912829847,0,1.2203963078540174,0.0001211830062559204,5,1.0,1.4340173651959864,-1.0,352,misspec,0.95,0.05
0,1,3000,0.001,,5.0,0.0,,0.6420558273174,0.3450666666666667,0.6467400155826567,0.34876666666666667,0.6797307610182485,0,1.1819991690058291,5.452381233796077e-05,5,1.0,1.363508688276286,-1.0,315,misspec,0.95,0.05
0,2,3000,0.001,,5.0,0.0,,0.6784808408723487,0.3682666666666667,0.6878752790585306,0.3722,0.6350482605950081,0,1.2979128739126893,7.577171157526193e-05,5,1.0,1.444944331645009,-1.0,334,misspec,0.95,0.05
0,3,3000,0.001,,5.0,0.0,,0.6270133652892022,0.33566666666666667,0.6339773365093523,0.3376,0.7454028057307008,0,1.1856467418485892,0.00010476413204701437,5,1.0,1.4004940339920682,-1.0,343,misspec,0.95,0.05
0,4,3000,0.001,,5.0,0.0,,0.6388164193107815,0.34376666666666666,0.6430015515634739,0.3454333333333333,0.7332190824862147,0,1.2338708713859003,2.7878001119087648e-05,5,1.0,1.4352865742340544,-1.0,349,misspec,0.95,0.05
0,5,3000,0.001,,5.0,0.0,,0.6317424851173438,0.33766666666666667,0.6363106442789221,0.34013333333333334,0.7839588665499352,0,1.233872865674342,7.933171495494811e-05,5,1.0,1.4618596899462246,-1.0,371,misspec,0.95,0.05
0,6,3000,0.001,,5.0,0.0,,0.6339852862549763,0.34126666666666666,0.6292653078551885,0.3353333333333333,0.7527276674434102,0,1.2028370835016202,0.00013615662240123042,5,1.0,1.4189489035132592,-1.0,346,misspec,0.95,0.05
0,7,3000,0.001,,5.0,0.0,,0.6438914397518055,0.34373333333333334,0.6527933108582116,0.35236666666666666,0.7389968663784172,0,1.2594191571285678,4.746933955245537e-05,5,1.0,1.460223606801216,-1.0,358,misspec,0.95,0.05
0,8,3000,0.001,,5.0,0.0,,0.6340115251169569,0.33926666666666666,0.6427906942155714,0.3455,0.7351618994117006,0,1.214445132130733,3.8487324755759366e-05,5,1.0,1.4196267105484641,-1.0,336,misspec,0.95,0.05
0,9,3000,0.001,,5.0,0.0,,0.6338984752545755,0.33803333333333335,0.6357409591992426,0.33963333333333334,0.7580363760623442,0,1.223437686591769,9.911773134823128e-05,5,1.0,1.4392424814487486,-1.0,356,misspec,0.95,0.05
0,0,3000,0.001,,5.0,0.0,,0.6240841871332636,0.31476666666666664,0.6264699511031899,0.31316666666666665,1.1411941828057193,0,1.5229615077817784,9.811434609353975e-05,10,1.0,1.9030858932414378,-1.0,678,misspec,0.95,0.05
0,1,3000,0.001,,5.0,0.0,,0.6232764180648419,0.31296666666666667,0.6295318796838832,0.31793333333333335,1.161425088845927,0,1.5446357201815575,0.0001175965515953279,10,1.0,1.9325650687781688,-1.0,694,misspec,0.95,0.05
0,2,3000,0.001,,5.0,0.0,,0.6832922645065728,0.3403,0.689519182524163,0.3423333333333333,1.0283995514340305,0,1.687465425191823,0.00010166644594696828,10,1.0,1.9761440227391158,-1.0,671,misspec,0.95,0.05
0,3,3000,0.001,,5.0,0.0,,0.6307088645227086,0.31693333333333334,0.6335499889194726,0.3178,1.125250993137141,0,1.5380341888315614,0.0002293012107752926,10,1.0,1.9057121932681444,-1.0,674,misspec,0.95,0.05
0,4,3000,0.001,,5.0,0.0,,0.6261203357588884,0.3119,0.6321816055492886,0.31676666666666664,1.1669983843845615,0,1.5584673210348807,0.00035320696456245276,10,1.0,1.9469734512544887,-1.0,698,misspec,0.95,0.05
0,5,3000,0.001,,5.0,0.0,,0.6288234464673146,0.31353333333333333,0.6361011366336138,0.3197,1.1573176680772257,0,1.5621772764597814,0.00014630578210977888,10,1.0,1.9441661523468121,-1.0,711,misspec,0.95,0.05
